,ID,Result
2118,2018_1417_1382,0
2119,2018_1113_1393,0
2120,2018_1300_1411,0
2121,2018_1439_1104,0
2122,2018_1112_1138,0
2123,2018_1233_1181,0
2124,2018_1382_1196,0
2125,2018_1422_1211,0
2126,2018_1361_1222,0
2127,2018_1335_1242,0
2128,2018_1172_1246,0
2129,2018_1274_1260,0
2130,2018_1285_1276,0
2131,2018_1355_1326,0
2132,2018_1328_1348,0
2133,2018_1301_1371,0
2134,2018_1460_1397,0
2135,2018_1372_1403,0
2136,2018_1347_1437,0
2137,2018_1158_1120,0
2138,2018_1116_1139,0
2139,2018_1209_1153,0
2140,2018_1308_1155,0
2141,2018_1281_1199,0
2142,2018_1166_1243,0
2143,2018_1455_1267,0
2144,2018_1137_1277,0
2145,2018_1400_1305,0
2146,2018_1252_1314,0
2147,2018_1168_1345,0
2148,2018_1395_1393,0
2149,2018_1344_1401,0
2150,2018_1438_1420,0
2151,2018_1293_1452,0
2152,2018_1411_1462,0
2153,2018_1348_1181,0
2154,2018_1326_1211,0
2155,2018_1371_1242,0
2156,2018_1138_1246,0
2157,2018_1397_1260,0
2158,2018_1222_1276,0
2159,2018_1196_1403,0
2160,2018_1104_1437,0
2161,2018_1120_1155,0
2162,2018_1462_1199,0
2163,2018_1420_1243,0
2164,2018_1153_1305,0
2165,2018_1139_1345,0
2166,2018_1277_1393,0
2167,2018_1314_1401,0
2168,2018_1267_1452,0
2169,2018_1211_1199,0
2170,2018_1246_1243,0
2171,2018_1305_1260,0
2172,2018_1401_1276,0
2173,2018_1393_1181,0
2174,2018_1155_1242,0
2175,2018_1345_1403,0
2176,2018_1452_1437,0
2177,2018_1243_1260,0
2178,2018_1199_1276,0
2179,2018_1181_1242,0
2180,2018_1403_1437,0
2181,2018_1260_1276,0
2182,2018_1242_1437,0
2183,2018_1276_1437,0
2184,2019_1396_1125,0
2185,2019_1341_1192,0
2186,2019_1385_1113,0
2187,2019_1300_1295,0
2188,2019_1308_1120,0
2189,2019_1393_1124,0
2190,2019_1305_1196,0
2191,2019_1436_1199,0
2192,2019_1192_1211,0
2193,2019_1318_1242,0
2194,2019_1101_1246,0
2195,2019_1463_1261,0
2196,2019_1125_1268,0
2197,2019_1285_1276,0
2198,2019_1133_1277,0
2199,2019_1257_1278,0
2200,2019_1266_1293,0
2201,2019_1330_1345,0
2202,2019_1388_1437,0
2203,2019_1371_1459,0
2204,2019_1113_1138,0
2205,2019_1295_1181,0
2206,2019_1209_1222,0
2207,2019_1153_1234,0
2208,2019_1280_1251,0
2209,2019_1233_1314,0
2210,2019_1235_1326,0
2211,2019_1279_1328,0
2212,2019_1458_1332,0
2213,2019_1159_1397,0
2214,2019_1297_1403,0
2215,2019_1243_1414,0
2216,2019_1433_1416,0
